Descriptions,Value,Function Name
"Applying the brake till master cylinder pressure is VALUE bar till vehicle stops but without activation of HBA , function or HFC",51,SC_set_brake
Set model variable PARAMETER from VALUE to constant VALUE,64,SC_stimuli_signal_constant
Applying a HBA maneuver as follows ,62,SC_start_maneuver
t = VALUE s : NETLC VALUE N,23,Printing
"t = VALUE , VALUE s : NETLC VALUE N",23,Printing
Set model variable PARAMETER from VALUE to constant PARAMETER,56,SC_set_label
Applying a HBA maneuver as follows,62,SC_start_maneuver
"Set model variables PARAMETER , PARAMETER , PARAMETER and PARAMETER to constant VALUE",64,SC_stimuli_signal_constant
Drive the vehicle on flat high mue track with constant vehicle speed VALUE km/h,39,SC_goto_target_speed_and_mue
set gear level to VALUE,55,SC_set_gear
Applying a function maneuver as follows,62,SC_start_maneuver
T = VALUE s : NETLC = VALUE bar ; NETLC = VALUE mbar,23,Printing
"T = VALUE , VALUE s : NETLC = VALUE bar ; NETLC = VALUE mbar",23,Printing
Set model variables PARAMETER to constant VALUE ,64,SC_stimuli_signal_constant
PARAMETER to constant VALUE ,64,SC_stimuli_signal_constant
PARAMETER to constant VALUE and,64,SC_stimuli_signal_constant
PARAMETER to constant VALUE,64,SC_stimuli_signal_constant
set target gear to VALUE,55,SC_set_gear
Applying a HFC as follows,62,SC_start_maneuver
t = VALUE s : NETLC VALUE bar ,23,Printing
"t = VALUE , VALUE s : NETLC VALUE bar",23,Printing
t = VALUE : NETLC VALUE bar ,23,Printing
Drive straight on,38,SC_goto_target_speed
accelerate vehicle speed to VALUE kmh,48,SC_set_accelerator
Drive in a right curve . Turn steering wheel to the right,38,SC_goto_target_speed
Check sorting order of wheel speeds,46,SC_read_label
Drive in a left curve . Turn steering wheel to the left,58,SC_set_SteeringAngle
Disconnect WSS RR signal,44,SC_interrupt_lines
Stimulate the ABS target state to off,64,SC_stimuli_signal_constant
keep EBD on,56,SC_set_label
Drive on flat track with vehicle speed > VALUE kmh,38,SC_goto_target_speed
Stimulate additionally the EBD target state to off,64,SC_stimuli_signal_constant
Drive on flat track,38,SC_goto_target_speed
Stimulate the ABS target state to off . Disconnect VALUE wheel speed sensors,44,SC_interrupt_lines
Disconnect all WSS,44,SC_interrupt_lines
Check which ABS mode is implemented . This is project specific,46,SC_read_label
Set VALUE wheel speeds as follows : FL = VALUE m/s ; FR = VALUE m/s ; RL = VALUE m/s ; RR = VALUE m/s,57,SC_set_wheel speeds_kmh
Detecting a NETLC situation set the project specific signal to a NETLC value,56,SC_set_label
Check reference speed before crash situation,46,SC_read_label
Detecting a crash situation set the project specific signal to a crash value,46,SC_read_label
Check reference speed after crash situation,46,SC_read_label
Drive on a flat track with VALUE km/h,38,SC_goto_target_speed
Drive in a tight curve,38,SC_goto_target_speed
Interrupt lateral sensor signal,44,SC_interrupt_lines
Drive on a flat track,38,SC_goto_target_speed
Apply brake pedal softly,51,SC_set_brake
Make a shortcut between Master Cylinder Pressure Sensor signal and battery ground,61,SC_short_lines
Make sure that software is flashed for HEV system,23,Printing
Set road surface µ = VALUE,57,SC_set_mue
Accelerate vehicle to VALUE kmh,48,SC_set_accelerator
Apply sudden hard brake until vehicle speed = VALUE kmh,51,SC_set_brake
Road surface µ = VALUE,57,SC_set_mue
Set steering angle from VALUE % to VALUE % to the right in VALUE s,58,SC_set_SteeringAngle
Set steering angle from VALUE % right to VALUE % left in VALUE s,58,SC_set_SteeringAngle
Set steering angle from VALUE % left to VALUE % in VALUE s,58,SC_set_SteeringAngle
Set accelerator pedal to VALUE %,48,SC_set_accelerator
Press accelerator pedal to VALUE %,48,SC_set_accelerator
Set road surface to high_mue,57,SC_set_mue
Set the road slope to VALUE % downhill,64,SC_stimuli_signal_constant
check for fault free system,2,DCOM_read_and_eval_fcm_rb
Drive straight away with speed within LSA range,38,SC_goto_target_speed
Apply HDC Button,17,GV_HDC_Button_ON
release acceleration or brake pedal,48,SC_set_accelerator
Set friction coefficient from VALUE to VALUE to provoke LSA intervention,57,SC_set_mue
Set friction coefficient back to VALUE,57,SC_set_mue
Test is possible if function switches NETLC and NETLC are set to PCA available . Appropriate SW has to be flashed,56,SC_set_label
Master Cylinder Pressure Sensor pMC is available,23,Printing
Check PCA availability,46,SC_read_label
Disconnect pMC sensor signal line,44,SC_interrupt_lines
Drive slowly off . Accelerator pedal = VALUE %,38,SC_goto_target_speed
Check ABS intervention,39,SC_goto_target_speed_and_mue
Check signals NETLC,46,SC_read_label
Turn the steering wheel in VALUE s to the right VALUE %,58,SC_set_SteeringAngle
Turn the steering wheel in VALUE s to the left VALUE %,58,SC_set_SteeringAngle
Check VDC intervention,46,SC_read_label
Drive on a flat road with high speed . Vehicle speed > = VALUE kmh,39,SC_goto_target_speed_and_mue
Turn steering wheel from left to right,58,SC_set_SteeringAngle
back until VDC is active for VALUE s,58,SC_set_SteeringAngle
ESP hev variant is coded,23,Printing
Check signal NETLC before the leakage,46,SC_read_label
Check signal NETLC after the leakage,46,SC_read_label
Set µ = VALUE ,57,SC_set_mue
Set Ubatt = VALUE V ,59,SC_set_Ubatt
Full System ,36,SC_ecu_on
Start Mesurement,31,SC_EA_trace_start
Set NETLC condition of about VALUE kmph,56,SC_set_label
Interrupt NETLC line during NETLC,44,SC_interrupt_lines
Evaluate MM6 signal and Failure memory after setting speed VALUE,3,DCOM_read_and_eval_fcm_rb_cu
Undo NETLC line interrupt failure,66,SC_undo_interrupt_lines
Drive off about VALUE kmph for VALUE sec,38,SC_goto_target_speed
Create FL signal Lost failure and Evaluate NETLC signal,64,SC_stimuli_signal_constant
Undo Signal lost failure,47,SC_release_stimuli_signal
Set speed to VALUE ,38,SC_goto_target_speed
Do ignition Off,41,SC_ignition_off
wait for post run time and turn Ignition On,70,SC_wait_ms
Perform NETLC for about VALUE sec at VALUE kmph,64,SC_stimuli_signal_constant
set speed to VALUE,38,SC_goto_target_speed
Create FR signal Lost failure and Evaluate NETLC signal,64,SC_stimuli_signal_constant
Create RL signal Lost failure and Evaluate NETLC signal,47,SC_release_stimuli_signal
Create RR signal Lost failure and Evaluate NETLC signal,64,SC_stimuli_signal_constant
Simulate NETLC > vmax,64,SC_stimuli_signal_constant
Bring vehicle to standstill,38,SC_goto_target_speed
Evaluate the failure memory,2,DCOM_read_and_eval_fcm_rb
Undo NETLC simulation,47,SC_release_stimuli_signal
Power cycle toggle,42,SC_ignition_off_on
NETLC up to VALUE kmph,56,SC_set_label
"To create diff generic failure , Manipulate NETLC = NETLC + VALUE kmph and NETLC = NETLC + VALUE kmph",16,GV_Create_failure
Wait untill the NETLC counter should count up until VALUE,70,SC_wait_ms
"Undo manipulation for only one wheel after fault entry in failure memory . ie , make either NETLC = NETLC + VALUE kmph & NETLC = NETLC",67,SC_undo_manipulation
Stop measurement Power cycle toggle Step VALUE Fault Presence ,33,SC_EA_trace_stop
NETLC Vehicle of about VALUE kmph for VALUE sec,38,SC_goto_target_speed
Evaluate failure memory,2,DCOM_read_and_eval_fcm_rb
"Manipulate NETLC = NETLC + VALUE , to create diff FL failure",64,SC_stimuli_signal_constant
"Wait untill the NETLC counter should count up until half of its maximum value ie , half the NETLC and evaluate NETLC",70,SC_wait_ms
After NETLC,70,SC_wait_ms
Set speed VALUE,38,SC_goto_target_speed
Read Failure memory,3,DCOM_read_and_eval_fcm_rb_cu
"Manipulate NETLC = NETLC + VALUE , to create diff FR failure",64,SC_stimuli_signal_constant
"Manipulate NETLC = NETLC + VALUE , to create diff RL failure",64,SC_stimuli_signal_constant
"Manipulate NETLC = NETLC + VALUE , to create diff RR failure",64,SC_stimuli_signal_constant
"Software should be OBD enabled ie , NETLC parameter NETLC",23,Printing
Stop measurement Power cycle toggle Step VALUE Additional Fault Presence ,33,SC_EA_trace_stop
NETLC Vehicle of about VALUE kmph,38,SC_goto_target_speed
Manipulate NETLC diff failure by making NETLC = NETLC + VALUE kmph,64,SC_stimuli_signal_constant
Set Ubatt default,59,SC_set_Ubatt
Apply Brake to standstill,54,SC_set_brake_and_wait
Set accelerations offset greater than VALUE m/s2,48,SC_set_accelerator
wait post run time to ECU become sleep,70,SC_wait_ms
manipulate NETLC in NETLC with NETLC Box,64,SC_stimuli_signal_constant
add every VALUE ms VALUE to the current NETLC > NETLC = NETLC + VALUE,65,SC_stimuli_signal_offset
turn ignition on,43,SC_ignition_on
manipulate NETLC in NETLC with NETLC Box add every VALUE ms VALUE to the current NETLC > NETLC = NETLC + VALUE,65,SC_stimuli_signal_offset
Read RB and CU failure memory General Information : - Test needed for NETLC NETLC,3,DCOM_read_and_eval_fcm_rb_cu
Drive off with VALUE kmph,38,SC_goto_target_speed
Set mue to VALUE,57,SC_set_mue
Apply Hard braking for ABS intervention,57,SC_set_mue
Set Yrs offset gradient VALUE deg/s,63,SC_start_manipulation
Set Yrs offset Linearly to VALUE deg/s,63,SC_start_manipulation
Set Yrs offset Linearly VALUE deg/s,63,SC_start_manipulation
Set NET AY signal Status information to Invalid,29,SC_CA_write_can_signal
Set Ay offset value VALUE m/s2,65,SC_stimuli_signal_offset
Set NET AYS signal Status information to Invalid,29,SC_CA_write_can_signal
Remove Ay Signal Offset manipulation,47,SC_release_stimuli_signal
wait for Post run time,70,SC_wait_ms
Set NET AYS signal Status information to Normal,29,SC_CA_write_can_signal
Step A Fault Detection ,23,Printing
Set Ays + = VALUE m/s2 with signal manipulator at standstill,65,SC_stimuli_signal_offset
Drive off straight-ahead as long as possible until the failure is detected,38,SC_goto_target_speed
Step A Fault Detection : Manipulation Steps ,23,Printing
ignition off - > on,42,SC_ignition_off_on
check,23,Printing
if no fault is in error memory,3,DCOM_read_and_eval_fcm_rb_cu
manipulate Ay Signal with constant offset VALUE m/s2,65,SC_stimuli_signal_offset
drive a distance > 10km,40,SC_goto_target_speed_and_wait
check error entry in fault memory additional,3,DCOM_read_and_eval_fcm_rb_cu
Ignition On with Ubatt default,36,SC_ecu_on
Apply brake vehicle to become standstill,51,SC_set_brake
Create Axs Sensor Message Time out fault,64,SC_stimuli_signal_constant
Do inertial Calibration Routine,23,Printing
Read RB,2,DCOM_read_and_eval_fcm_rb
CU failure memory Fault Absence Behavior ,23,Printing
Manipulate Ax signal to VALUE m/s2,64,SC_stimuli_signal_constant
Manipulate Ay Signal to VALUE m/s2,64,SC_stimuli_signal_constant
ECU Off,35,SC_ecu_off
Corrupt PDM Label NETLC label,56,SC_set_label
Set Axs Signal to VALUE m/s2,64,SC_stimuli_signal_constant
Set Ays NET Signal to VALUE m/s2,64,SC_stimuli_signal_constant
write in EEprom a value of VALUE m/s2 at the adress for NETLC and 20km for the number of integrated acceleration values,5,DCOM_SetEeprom
manipulate the NETLC Value with + VALUE m/s² ,64,SC_stimuli_signal_constant
drive off on flat surface till failure is detected ; NETLC increases up to failure threshold of PARAMETER,38,SC_goto_target_speed
manipulate AXS signal constant = VALUE m/s²,64,SC_stimuli_signal_constant
Drive of w/o any controller intervention to VALUE km/h,38,SC_goto_target_speed
Drive until failure is detected,40,SC_goto_target_speed_and_wait
Drive at constant velocity - no longitudinal acceleration,38,SC_goto_target_speed
Set Axs + = VALUE m/s² with signal manipulator,64,SC_stimuli_signal_constant
manipulate AXS signal offset > VALUE m/s²,64,SC_stimuli_signal_constant
Drive of w/o controller intervention to VALUE km/h to avoid NETLC failure entry,38,SC_goto_target_speed
drive only straight-ahead for at least VALUE s,38,SC_goto_target_speed
Set NET AY signal Status information to Not Init,29,SC_CA_write_can_signal
Set NET AYS signal Status information to Not Init,29,SC_CA_write_can_signal
Remove NET AYS signal Status information to Not Init,29,SC_CA_write_can_signal
Set NET AXS signal Status information to Invalid,29,SC_CA_write_can_signal
Set Ax offset value VALUE m/s2,65,SC_stimuli_signal_offset
Remove Ax Signal Offset manipulation,47,SC_release_stimuli_signal
Set NET AXS signal Status information to Normal,29,SC_CA_write_can_signal
Set NET AXS signal Status information to Not Init,29,SC_CA_write_can_signal
Change INS sensor ID in PDM Label to different value,56,SC_set_label
Perform Power cycle,42,SC_ignition_off_on
Corrupt PDM Label NETLC,56,SC_set_label
create NET INS Timeout failure,24,SC_CA_disable_messages
Vehicle speed = VALUE km/h,38,SC_goto_target_speed
"Start a new ignition cycle , switch the engine on",42,SC_ignition_off_on
wait at least for VALUE seconds,70,SC_wait_ms
Ensure that ,23,Printing
A fault-free system is present,3,DCOM_read_and_eval_fcm_rb_cu
RB fault memory is empty,3,DCOM_read_and_eval_fcm_rb_cu
All relevant components are available,23,Printing
Check the current misstate via the NETLC signal PARAMETER,46,SC_read_label
"Cockpit signals NETLC , NETLC and NETLC",46,SC_read_label
Failure provocation : BLS to VALUE,56,SC_set_label
Wait at least for VALUE second,70,SC_wait_ms
Read RB failure memory content,3,DCOM_read_and_eval_fcm_rb_cu
Failure healing : set BLS to VALUE,56,SC_set_label
Switch battery off and on again,59,SC_set_Ubatt
Set vehicle speed = VALUE km/h,38,SC_goto_target_speed
Failure provocation : In the Wheel Speed window set the wheel to VALUE m/s,16,GV_Create_failure
Disable the manipulation of the wheel speed sensor signal,63,SC_start_manipulation
Failure provocation : Interrupt the signal line of the NETLC for the wheel FL,44,SC_interrupt_lines
the wheel FR and the wheel RL,64,SC_stimuli_signal_constant
"Cockpit-signals NETLC , NETLC and NETLC",56,SC_set_label
Re-Connect the signal line of the NETLC for the wheel FL,66,SC_undo_interrupt_lines
Failure provocation : Cust_Diag : Switch to Extended Diagnostic Session,4,DCOM_send_request
Failure PARAMETER : Cust_Diag : Switch to Default Session,4,DCOM_send_request
Failure provocation : RB_Diag : Switch to HU Plant Mode,4,DCOM_send_request
Failure PARAMETER : RB Diag : Leave HU Plant Mode,4,DCOM_send_request
"Failure provocation : Drive a short steering manoeuvre : steering to right VALUE degrees for VALUE ms , steering to left VALUE degrees also for VALUE ms",62,SC_start_maneuver
Check the lamp misstate during step VALUE via the,46,SC_read_label
Switch to ESP passive mode,56,SC_set_label
Create an situation where NETLC there is a VDC intervention,21,GV_VDC_maneuver
During this ESP intervention switch back to ESP active,21,GV_VDC_maneuver
First Failure provocation : In the Wheel Speed window set the wheel to VALUE m/s,64,SC_stimuli_signal_constant
Second Failure provocation : Interrupt the signal line of the NETLC for the wheel FL,44,SC_interrupt_lines
UBatt Voltage = VALUE V,59,SC_set_Ubatt
Ignition On and Engine On,43,SC_ignition_on
BTM enabled via EEPROM,5,DCOM_SetEeprom
Ambient temperature from dashboard ECU = Available,56,SC_set_label
Standstill Time from dashboard ECU = Available,38,SC_goto_target_speed
NETLC = NETLC Available Normal,56,SC_set_label
Set the brake disc startup temperature value which is VALUE ° C lower than the value in EEPROM,56,SC_set_label
Drive the vehicle by applying full accelerator pedal,38,SC_goto_target_speed
UBatt Off and then UBatt On,59,SC_set_Ubatt
Apply the brake with VALUE bars,51,SC_set_brake
Wait till the brake disc temperature of NETLC reaches to value,70,SC_wait_ms
While the brake disc temperature of NETLC reaches to value,70,SC_wait_ms
Set Brake Pad calibration value as VALUE for RL and RR wheels and VALUE for FL and FR,51,SC_set_brake
Drive off vehicle speed greater than PARAMETER,38,SC_goto_target_speed
Apply brake pressure greater than PARAMETER bar to trigger HRB function,51,SC_set_brake
Apply brake until vehicle comes to standstill,54,SC_set_brake_and_wait
Set Brake Pad calibration value as VALUE for RL and RR and VALUE for FL and FR,56,SC_set_label
Ignition ON ,43,SC_ignition_on
TargetStateCDP = ON,56,SC_set_label
Const steering VALUE °,58,SC_set_SteeringAngle
Gear D,55,SC_set_gear
APB_System_State = Park Released or press APB button,11,GV_apb_apply
Set Brake pedal to VALUE,51,SC_set_brake
Reset the APB direction to Neutral,13,GV_apb_release
Drive the vehicle with vehicle speed more than the PARAMETER . Set vehicle speed = VALUE kmph,38,SC_goto_target_speed
Set the accelerator Pedal to VALUE,48,SC_set_accelerator
Set the Brake Pedal to VALUE,51,SC_set_brake
Switch APB in direction Apply or press APB button or set NETLC Net Signal to Active,11,GV_apb_apply
Switch APB in direction Neutral or press APB button or set NETLC Net Signal to InActive,12,GV_apb_neutral
Wait VALUE s ,70,SC_wait_ms
Switch APB in direction lock or press APB button or set NETLC Net Signal to Active,11,GV_apb_apply
Reset Manipulation of Pressure sensor failure,67,SC_undo_manipulation
Set vehicle speed = VALUE kmph ,38,SC_goto_target_speed
Create wheel speed FL line failure,44,SC_interrupt_lines
Reset Manipulation of wheel speed failure,66,SC_undo_interrupt_lines
Set vehicle speed = VALUE kmph,38,SC_goto_target_speed
Reset Manipulation of WSS sensor failure,66,SC_undo_interrupt_lines
CurrentStateAEB = OFF,56,SC_set_label
VDC by PATA = ON,56,SC_set_label
AebActive = OFF,56,SC_set_label
Drive the vehicle with vehicle speed more than the PARAMETER,38,SC_goto_target_speed
Release the acceleration pedal,48,SC_set_accelerator
apply the brake such that the applied brake pressure is slightly more than the PARAMETER,51,SC_set_brake
Activate AEB-BA by setting AEB Activation NET signal from Driver Assistance to True,29,SC_CA_write_can_signal
AEB BA activation NET signal to True and AEB Target deceleration NET signal from DA to VALUE m/s2 together at the same time,29,SC_CA_write_can_signal
Wait for PARAMETER + VALUE s,70,SC_wait_ms
Release the accelerator pedal,48,SC_set_accelerator
activate AEB IB by setting AEB Activation NET signal from Driver Assistance to True,29,SC_CA_write_can_signal
AEB Target deceleration NET signal from DA to VALUE m/s2 together at the same time,29,SC_CA_write_can_signal
AEB IB Active = OFF,56,SC_set_label
Create engine pdu timeout failure,24,SC_CA_disable_messages
activate AEB-IB by setting AEB Activation NET signal from Driver Assistance to True,29,SC_CA_write_can_signal
Wait for PARAMETER,70,SC_wait_ms
Reset the manipulation of engine pdu timeout failure,25,SC_CA_enable_messages
Deactivate the VDC to ON by PATA switch,45,SC_pata_set
Reset the manipulation : Activate the VDC to ON by PATA switch,45,SC_pata_set
Standstill,38,SC_goto_target_speed
Brake pedal = VALUE %,51,SC_set_brake
Wait VALUE msec,70,SC_wait_ms
Interrupt Pressure Signal Line,44,SC_interrupt_lines
Interrupt WSS Front Left Signal Line,44,SC_interrupt_lines
Velocity VALUE km/h,38,SC_goto_target_speed
Interrupt UB_MR Supply Line,44,SC_interrupt_lines
Interrupt Valve NETLC,44,SC_interrupt_lines
Interrupt Vacuum Signal Line,44,SC_interrupt_lines
Interrupt CAN Bus,44,SC_interrupt_lines
vac = VALUE mbar,56,SC_set_label
NETLC = Available,56,SC_set_label
Set velocity that NETLC > = NETLC + PARAMETER,56,SC_set_label
Retain BLS,51,SC_set_brake
Set brake pedal that NETLC > - PARAMETER,51,SC_set_brake
Set no gear ; N position,55,SC_set_gear
Disrupt BLS,51,SC_set_brake
NETLC = False,56,SC_set_label
NETLC = Normal,56,SC_set_label
NETLC ! = ABS AND wheeler ! = ABS,56,SC_set_label
Set brake pedal that NETLC > PARAMETER - PARAMETER,51,SC_set_brake
"Fault NETLC , observe detection time > VALUE sec",70,SC_wait_ms
BLS = Yes,56,SC_set_label
Error state from iBooster,23,Printing
Set brake pedal that NETLC > VALUE bar,51,SC_set_brake
NETLC = True,56,SC_set_label
NETLC Request = iBok,56,SC_set_label
Create Ibooster Timeout Failure,16,GV_Create_failure
NETLC Request = Boost Requested,56,SC_set_label
Set brake pedal that NETLC > PARAMETER - PARAMETER VALUE Set NETLC Request = Boost requested,51,SC_set_brake
Set NETLC Request = iBok,56,SC_set_label
ECU On with Ubatt VALUE V,36,SC_ecu_on
Ignition On with Ubatt VALUE V,36,SC_ecu_on
Start ECU trace measurement,31,SC_EA_trace_start
Create a Fault which leads to All controller to be off,16,GV_Create_failure
Stop ECU trace measurement,33,SC_EA_trace_stop
Create Failure which leads to all controller to be Shutdown,16,GV_Create_failure
Create Failure word which is configured as VIRTUAL Node ,16,GV_Create_failure
Undo Virtual Node Failure STIMULATION,20,GV_UNDO_failure
Perform Test complete maneuver for Virtual node failure word,62,SC_start_maneuver
Apply brake vehicle to become standstill,54,SC_set_brake_and_wait
Fault STIMULATION ,23,Printing
Create NET time out fault,24,SC_CA_disable_messages
Read RB and CU failure memory Fault Presence ,3,DCOM_read_and_eval_fcm_rb_cu
Clear CU memory,30,SC_clear_all_fcm
Read RB and CU failure memory Fault Reset ,3,DCOM_read_and_eval_fcm_rb_cu
Undo NET time out fault manipulation,25,SC_CA_enable_messages
ECU off with Post Run,35,SC_ecu_off
Read RB and CU failure memory Fault STIMULATION ,3,DCOM_read_and_eval_fcm_rb_cu
undo NET time out fault at the same time,25,SC_CA_enable_messages
ECU On with Ubatt = VALUE V,36,SC_ecu_on
Clear RB and CU Failure Memory,30,SC_clear_all_fcm
Start Measurement : VALUE,31,SC_EA_trace_start
ECU On with Ubatt = VALUE V at T0,36,SC_ecu_on
Set Speed = VALUE kph,38,SC_goto_target_speed
Interrupt WSS FL Line at T1,44,SC_interrupt_lines
Undo Interrupt WSS FL Line at T2,66,SC_undo_interrupt_lines
Read RB and CU fault,3,DCOM_read_and_eval_fcm_rb_cu
ECU Off Start Measurement : VALUE,41,SC_ignition_off
ECU On with Ubatt = VALUE V at T3,36,SC_ecu_on
Interrupt WSS FR Line at T4,44,SC_interrupt_lines
Perform Operation cycle with Ubatt = VALUE at T5,59,SC_set_Ubatt
Undo Interrupt WSS FR Line at T6,66,SC_undo_interrupt_lines
No Failure entry in Failure memory,3,DCOM_read_and_eval_fcm_rb_cu
Set all wheel speed = VALUE m/s,60,SC_set_wheel_speeds_kmh
Set Wheel FL = VALUE m/s,56,SC_set_label
Brake with NETLC Target = VALUE Nm,51,SC_set_brake
Set the signal net wheel fa = VALUE Nm,56,SC_set_label
"release brake , Reset net wheel fa signal",51,SC_set_brake
Set the signal netlc wheel = VALUE Nm,56,SC_set_label
"release brake , Reset netlc wheel signal",51,SC_set_brake
"Set the signal net wheel fa = VALUE Nm , netlc wheel = VALUE Nm",56,SC_set_label
"release brake , Reset NETLC Wheel , netlc wheel signal",51,SC_set_brake
Set VALUE wheel speeds as follows : FL = VALUE m/s ; FR = VALUE m/s ; RL = VALUE m/s ; RR = VALUE m/s,60,SC_set_wheel_speeds_kmh
NETLC = Available Normal,56,SC_set_label
VDC NETLC Flag Check ,46,SC_read_label
Create VDC Intervention,21,GV_VDC_maneuver
Interrupt WSS FL Line,44,SC_interrupt_lines
Read RB Fault,2,DCOM_read_and_eval_fcm_rb
Undo WSS FL Line,20,GV_UNDO_failure
ABS NETLC Flag Check ,46,SC_read_label
Create ABS Intervention,39,SC_goto_target_speed_and_mue
Interrupt WSS FR Line,44,SC_interrupt_lines
Undo Interrupt WSS FR Line,66,SC_undo_interrupt_lines
TCS NETLC Flag Check ,46,SC_read_label
Create TCS Intervention,62,SC_start_maneuver
Interrupt WSS RL Line,44,SC_interrupt_lines
Undo Interrupt WSS RL Line,66,SC_undo_interrupt_lines
EBD NETLC Flag Check ,46,SC_read_label
Create EBD intervention,62,SC_start_maneuver
Interrupt WSS RR Line,44,SC_interrupt_lines
Undo Interrupt WSS RR Line,66,SC_undo_interrupt_lines
Check Hydraulic Activation ,46,SC_read_label
Interrupt NETLC Line,44,SC_interrupt_lines
Undo Interrupt NETLC Line,66,SC_undo_interrupt_lines
create NETLC fault at T1,16,GV_Create_failure
Undo NETLC fault at T2,20,GV_UNDO_failure
create NETLC fault at T4,16,GV_Create_failure
Undo NETLC fault at T6,20,GV_UNDO_failure
Clear RB and CU fault memory,30,SC_clear_all_fcm
Create recoverable fault with Monitoring to be configured as Failure Filter and PARAMETER Method Monitoring can be configured ,16,GV_Create_failure
Wait NETLC,70,SC_wait_ms
Stop Measurement Fault Reset Phase ,66,SC_undo_interrupt_lines
Undo Failure,24,SC_CA_disable_messages
Create Curable fault with Monitoring to be configured as Failure Filter and PARAMETER Method Monitoring can be configured ,24,SC_CA_disable_messages
Stop Measurement Fault Present Phase ,33,SC_EA_trace_stop
Perform Operation Cycle,42,SC_ignition_off_on
Perform Test NETLC maneuver,62,SC_start_maneuver
Undo Manipulation,67,SC_undo_manipulation
Perform Test complete maneuver,67,SC_undo_manipulation
Create Drive cycle fault with Monitoring to be configured as Failure Filter and PARAMETER Method Monitoring can be configured A36,16,GV_Create_failure
Undo Drive cycle Failure,20,GV_UNDO_failure
Create drive cycle fault on same ignition cycle with Monitoring to be configured as Failure Filter and PARAMETER Method Monitoring can be configured  ,16,GV_Create_failure
Perform operation cycle change,42,SC_ignition_off_on
Ign Off,41,SC_ignition_off
Ign On,43,SC_ignition_on
create Drive cycle fault with Monitoring to be configured as Failure Filter and PARAMETER Method Monitoring can be configured ,41,SC_ignition_off
Perform Test complete maneuver for the fault word,20,GV_UNDO_failure
Create recoverable fault with Monitoring to be configured as Error Ratio,16,GV_Create_failure
Stop Measurement Fault Present ,33,SC_EA_trace_stop
Do Operation cycle change,42,SC_ignition_off_on
Undo Failure manipulation,67,SC_undo_manipulation
Create Drive cycle fault with Monitoring to be configured as Error Ratio,16,GV_Create_failure
Create drive cycle fault with Monitoring to be configured as Error Ratio Monitoring can be configured ,16,GV_Create_failure
Brake pedal released,51,SC_set_brake
OBD failure should be cleared,23,Printing
Write NET signal from Engine ECU for Drive Cycle Cycle to be true,29,SC_CA_write_can_signal
Write NET signal from Engine ECU for Warmup Cycle Cycle to be set,29,SC_CA_write_can_signal
Perform a drive cycle with general denominator by enabling PFC cycle,42,SC_ignition_off_on
Start diagnosis communication,18,GDCOM_start_communication
Send the diagnostic request to read software installed Calibration ID Info Type of ECU . Req : HEX_VALUE,4,DCOM_send_request
Stop diagnosis communication,29,GDCOM_stop_communication
Stop communication,29,GDCOM_stop_communication
Stop com,29,GDCOM_stop_communication
Send the diagnostic request to read integrity of software installed Calibration Verification ID Info Type of ECU ,4,DCOM_send_request
Req : HEX_VALUE,4,DCOM_send_request
Send the diagnostic request to read integrity of software installed Calibration Verification ID Info Type of ECU . Req : HEX_VALUE,4,DCOM_send_request
Create 1trip fault word,16,GV_Create_failure
Perform Drive cycle,42,SC_ignition_off_on
Create 2trip fault word,16,GV_Create_failure
Delete RB & CU failure memory,30,SC_clear_all_fcm
State Measurement,31,SC_EA_trace_start
Create failure which is having debug data for the evaluation,16,GV_Create_failure
Read RB and CU fault word,3,DCOM_read_and_eval_fcm_rb_cu
Create Failure Class VALUE,16,GV_Create_failure
drive cycle fault word and remove failure manipulation,67,SC_undo_manipulation
Clear RB fault word,30,SC_clear_all_fcm
Clear CU fault word,30,SC_clear_all_fcm
Enter Base OS mode,23,Printing
Clear failure memory,30,SC_clear_all_fcm
Create drive cycle fault word with dynamic testcomplete maneuver condition,16,GV_Create_failure
Perform Power loss condition ,46,SC_read_label
Check EVENT logger feature is enabled for the monitoring,46,SC_read_label
Create drive cycle fault word with dynamic testcomplete maneuver condition and EVENT Logger is enabled,16,GV_Create_failure
Flash different BL software,23,Printing
Create drive cycle fault word with dynamic testcomplete maneuver condition and failure class VALUE with feature enabled as Component Goodcheck,16,GV_Create_failure
CGC : check with DSM resp which monitoring is configured as CGC,46,SC_read_label
Create drive cycle fault word with dynamic testcomplete maneuver condition with feature enabled as Component Goodcheck,16,GV_Create_failure
Generate new AVC learning values by performing following steps,16,GV_Create_failure
Partial brake into vehicle standstill,54,SC_set_brake_and_wait
Brake pedal apply and slow release in vehicle standstill,54,SC_set_brake_and_wait
Ignition Off . Wait system to fall asleep,41,SC_ignition_off
Undo all manipulations,67,SC_undo_manipulation
PARAMETER with Ubatt = VALUE V,59,SC_set_Ubatt
Make EBD braking without pumpkin to standstill,51,SC_set_brake
NETLC available,56,SC_set_label
No LTM failure word connection exists,23,Printing
Set NETLC of ECU Runtime pdm label to VALUE,56,SC_set_label
Read faults and Lamps,2,DCOM_read_and_eval_fcm_rb
Set NETLC of ECU Mileage pdm label to VALUE,5,DCOM_SetEeprom
Set vehicle speed = VALUE m/s,38,SC_goto_target_speed
NETLC with VAF monitoring enabled,56,SC_set_label
Gear in Drive mode,55,SC_set_gear
